timestamp,elapsed_s,bytes_this_interval,goodput_mbps,total_bytes
2180.786,1.0,983040,7.5460,983040
2181.828,2.1,1245184,9.5629,2228224
2182.868,3.1,1245184,9.5738,3473408
2183.910,4.2,1245184,9.5627,4718592
2184.952,5.2,1245184,9.5631,5963776
2185.993,6.2,1245184,9.5636,7208960
2187.035,7.3,1245184,9.5622,8454144
2188.089,8.3,1245184,9.4527,9699328
2189.131,9.4,1245184,9.5634,10944512
2190.174,10.4,1245184,9.5506,12189696
2191.215,11.5,1245184,9.5622,13434880
2192.257,12.5,1245184,9.5608,14680064
2193.300,13.6,1245184,9.5515,15925248
2194.342,14.6,1245184,9.5622,17170432
2196.643,16.9,1245184,4.3284,18415616
2197.686,17.9,2752512,21.1126,21168128
2198.728,19.0,1245184,9.5636,22413312
2199.770,20.0,1245184,9.5626,23658496
2200.811,21.1,1245184,9.5625,24903680
2202.445,22.7,458752,2.2472,25362432
2203.498,23.8,2752512,20.8972,28114944
2204.540,24.8,1245184,9.5614,29360128
2205.582,25.8,1245184,9.5629,30605312
2206.623,26.9,1245184,9.5629,31850496
2207.665,27.9,1245184,9.5625,33095680
2208.707,29.0,1245184,9.5625,34340864
2209.749,30.0,1245184,9.5613,35586048
2210.791,31.0,1245184,9.5624,36831232
2211.834,32.1,1245184,9.5505,38076416
2212.874,33.1,1245184,9.5746,39321600
2213.916,34.2,1245184,9.5619,40566784
2214.958,35.2,1245184,9.5617,41811968
2216.000,36.3,1245184,9.5601,43057152
2217.041,37.3,1245184,9.5624,44302336
2218.083,38.3,1245184,9.5616,45547520
2220.319,40.6,1179648,4.2204,46727168
2221.373,41.6,2752512,20.8891,49479680
2222.415,42.7,1245184,9.5626,50724864
2223.457,43.7,1245184,9.5627,51970048
2224.499,44.8,1245184,9.5591,53215232
2225.539,45.8,1245184,9.5736,54460416
2226.581,46.8,1245184,9.5621,55705600
2227.623,47.9,1245184,9.5624,56950784
2228.976,49.2,131072,0.7750,57081856
2229.981,50.2,2686976,21.3782,59768832
2231.022,51.3,1245184,9.5741,61014016
2232.064,52.3,1245184,9.5558,62259200
2233.106,53.4,1245184,9.5626,63504384
2234.148,54.4,1245184,9.5604,64749568
2235.190,55.4,1245184,9.5621,65994752
2236.231,56.5,1245184,9.5627,67239936
2237.275,57.5,1245184,9.5498,68485120
2238.316,58.6,1245184,9.5626,69730304
2239.358,59.6,1245184,9.5623,70975488
