timestamp,elapsed_s,sent_bytes,sent_pkts,dropped,overlimits,backlog_bytes,backlog_pkts
3764.269,0.000,180,2,0,0,0,0
3764.370,0.100,180,2,0,0,0,0
3764.470,0.200,180,2,0,0,0,0
3764.570,0.301,180,2,0,0,0,0
3764.670,0.401,180,2,0,0,0,0
3764.771,0.501,180,2,0,0,0,0
3764.871,0.602,180,2,0,0,0,0
3764.971,0.702,180,2,0,0,0,0
3765.071,0.802,180,2,0,0,0,0
3765.171,0.902,180,2,0,0,0,0
3765.272,1.002,180,2,0,0,0,0
3765.372,1.103,180,2,0,0,0,0
3765.472,1.203,180,2,0,0,0,0
3765.572,1.303,180,2,0,0,0,0
3765.672,1.403,180,2,0,0,0,0
3765.773,1.503,180,2,0,0,0,0
3765.873,1.604,180,2,0,0,0,0
3765.973,1.704,180,2,0,0,0,0
3766.073,1.804,180,2,0,0,0,0
3766.174,1.904,180,2,0,0,0,0
3766.274,2.005,180,2,0,0,0,0
3766.374,2.105,222,3,0,0,0,0
3766.474,2.205,222,3,0,0,74,1
3766.574,2.305,296,4,0,0,15206,11
3766.675,2.405,15502,15,0,18,30280,20
3766.775,2.506,45782,35,0,56,60560,40
3766.875,2.606,106342,75,0,134,81756,54
3766.975,2.706,207780,142,0,294,98410,65
3767.075,2.806,328900,222,0,527,127176,84
3767.175,2.906,453048,304,0,773,133232,88
3767.275,3.006,578710,387,0,1018,139288,92
3767.376,3.106,704372,470,0,1228,143830,95
3767.476,3.206,830034,553,0,1440,149886,99
3767.576,3.306,955696,636,0,1650,154428,102
3767.676,3.407,1079844,718,0,1858,161998,107
3767.776,3.507,1205506,801,0,2068,166540,110
3767.876,3.607,1329654,883,0,2278,,
3767.976,3.707,1455316,966,0,2488,183194,121
3768.076,3.807,1580978,1049,0,2698,186222,123
3768.177,3.907,1705126,1131,0,2906,193792,128
3768.277,4.007,1830788,1214,0,3117,199848,132
3768.377,4.108,1956450,1297,0,3327,205904,136
3768.477,4.208,2076056,1376,0,3530,219530,145
3768.577,4.308,2201718,1459,0,3739,219530,145
3768.677,4.408,2325866,1541,0,3948,227100,150
3768.777,4.508,2451528,1624,0,4158,230128,152
3768.878,4.608,2577190,1707,0,4369,237698,157
3768.978,4.708,2702852,1790,0,4580,243754,161
3769.078,4.809,2827000,1872,0,4788,251324,166
3769.178,4.909,2951148,1954,0,4996,257380,170
3769.278,5.009,3078324,2038,0,5209,261922,173
3769.378,5.109,3202472,2120,0,5417,269492,178
3769.478,5.209,3328134,2203,0,5627,274034,181
3769.578,5.309,3452282,2285,0,5835,280090,185
3769.679,5.409,3577944,2368,0,6047,289174,191
3769.779,5.509,3703606,2451,0,6257,295230,195
3769.879,5.610,3827754,2533,0,6465,301286,199
