timestamp,elapsed_s,peer_ip,peer_port,role,cwnd,ssthresh,rtt,rttvar,retrans,bytes_sent,bytes_acked,send_rate,unacked,snd_wnd
136801.508,2.305,10.0.0.2,42676,honest,10,42230,100.606,50.303,,14480,,1151422bps,10,
136801.608,2.405,10.0.0.2,42676,honest,20,42230,105.04,7.572,,43440,14480,2205636bps,20,
136801.708,2.505,10.0.0.2,42676,honest,40,42230,107.266,4.215,,101360,43440,4319729bps,40,
136801.808,2.606,10.0.0.2,42676,honest,63,42230,110.311,3.575,,167968,76744,6615768bps,63,
136801.908,2.706,10.0.0.2,42676,honest,102,42230,111.435,3.118,,280912,133216,10603204bps,102,
136802.008,2.806,10.0.0.2,42676,honest,124,122,111.114,2.003,,425712,246160,12927408bps,124,
136802.109,2.906,10.0.0.2,42676,honest,129,122,150.663,0.624,,554584,367792,9918401bps,129,
136802.209,3.006,10.0.0.2,42676,honest,133,122,152.767,0.716,,680560,487976,10085110bps,133,
136802.309,3.106,10.0.0.2,42676,honest,137,122,158.197,0.764,,805088,608160,10031846bps,136,
136802.409,3.206,10.0.0.2,42676,honest,136,98,161.462,0.685,1,923824,703728,9757243bps,151,
136802.509,3.307,10.0.0.2,42676,honest,106,98,161.6,0.631,5,1007808,703728,7598416bps,205,
136802.609,3.407,10.0.0.2,42676,honest,98,98,141.793,3.005,7,1117856,809432,8006263bps,206,
136802.709,3.507,10.0.0.2,42676,honest,99,98,117.778,0.284,7,1239488,1086000,9737099bps,99,
136802.809,3.607,10.0.0.2,42676,honest,102,98,119.126,1.156,7,1364016,1206184,9918641bps,102,
136802.910,3.707,10.0.0.2,42676,honest,104,98,122.299,0.07,7,1487096,1326368,9850743bps,104,
136803.010,3.807,10.0.0.2,42676,honest,107,98,125.723,0.423,7,1611624,1446552,9858880bps,107,
136803.110,3.907,10.0.0.2,42676,honest,109,98,129.212,0.669,7,1733256,1565288,9771972bps,109,
136803.210,4.007,10.0.0.2,42676,honest,111,98,131.245,0.527,7,1856336,1685472,9797128bps,111,
136803.310,4.108,10.0.0.2,42676,honest,113,98,133.642,0.879,7,1977968,1804208,9794765bps,113,
136803.410,4.208,10.0.0.2,42676,honest,115,98,135.3,0.509,7,2101048,1924392,9845972bps,115,
136803.510,4.308,10.0.0.2,42676,honest,117,98,137.935,0.231,7,2222680,2043128,9825846bps,117,
136803.611,4.408,10.0.0.2,42676,honest,118,98,140.227,0.454,7,2344312,2164760,9747852bps,117,
136803.711,4.508,10.0.0.2,42676,honest,120,98,142.327,0.676,7,2465944,2283496,9766805bps,119,
136803.811,4.608,10.0.0.2,42676,honest,122,98,144.045,0.165,7,2587576,2402232,9811156bps,121,
136803.911,4.708,10.0.0.2,42676,honest,123,98,146.343,0.407,7,2709208,2520968,9736250bps,123,
136804.011,4.809,10.0.0.2,42676,honest,125,98,147.1,0.659,7,2832288,2641152,9843644bps,125,
136804.111,4.909,10.0.0.2,42676,honest,126,98,148.969,0.05,7,2953920,2761336,9797904bps,126,
136804.211,5.009,10.0.0.2,42676,honest,127,98,151.411,0.119,7,3074104,2880072,9716388bps,127,
136804.311,5.109,10.0.0.2,42676,honest,129,98,152.738,1.112,7,3197184,3000256,9783656bps,129,
136804.412,5.209,10.0.0.2,42676,honest,130,98,153.847,0.012,7,3318816,3121888,9788426bps,129,
136804.512,5.309,10.0.0.2,42676,honest,131,98,156.319,0.435,7,3440448,3240624,9707739bps,131,
136804.612,5.409,10.0.0.2,42676,honest,132,98,156.539,0.509,7,3560632,3360808,9768096bps,131,
136804.712,5.509,10.0.0.2,42676,honest,133,98,158.7,0.034,7,3679368,3478096,9708078bps,132,
136804.812,5.609,10.0.0.2,42676,honest,133,98,159.077,0.638,7,3801000,3598280,9685071bps,133,
136804.912,5.710,10.0.0.2,42676,honest,134,98,160.825,0.39,7,3924080,3719912,9651833bps,134,
136805.012,5.810,10.0.0.2,42676,honest,131,94,161.452,0.651,8,4039920,3816928,9399103bps,146,
136805.112,5.910,10.0.0.2,42676,honest,105,94,161.571,0.608,8,4122456,3816928,7528084bps,203,
136805.213,6.010,10.0.0.2,42676,honest,94,94,142.081,3.017,9,4226712,4012408,7663910bps,139,
136805.313,6.110,10.0.0.2,42676,honest,95,94,114.243,0.449,9,4349792,4199200,9632800bps,95,
136805.413,6.210,10.0.0.2,42676,honest,96,94,112.878,0.227,9,4471424,4319384,9851911bps,96,
136805.513,6.310,10.0.0.2,42676,honest,98,94,116.133,0.393,9,4593056,4438120,9775275bps,98,
136805.613,6.411,10.0.0.2,42676,honest,100,94,117.771,1.18,9,4714688,4558304,9836038bps,99,
136805.713,6.511,10.0.0.2,42676,honest,101,94,119.396,0.702,9,4836320,4677040,9799189bps,101,
136805.813,6.611,10.0.0.2,42676,honest,102,94,121.393,0.659,9,4956504,4797224,9733411bps,101,
136805.913,6.711,10.0.0.2,42676,honest,103,94,122.802,1.104,9,5078136,4915960,9716063bps,103,
136806.014,6.811,10.0.0.2,42676,honest,104,94,124.711,0.121,9,5199768,5036144,9660222bps,104,
136806.114,6.911,10.0.0.2,42676,honest,105,94,125.766,0.314,9,5319952,5156328,9671294bps,104,
136806.214,7.011,10.0.0.2,42676,honest,106,94,126.209,0.35,9,5444480,5277960,9729132bps,106,
136806.314,7.111,10.0.0.2,42676,honest,107,94,127.18,0.05,9,5563216,5396696,9745935bps,106,
136806.414,7.211,10.0.0.2,42676,honest,108,94,128.306,0.104,9,5684848,5515432,9750690bps,108,
136806.514,7.312,10.0.0.2,42676,honest,108,94,129.677,0.368,9,5805032,5635616,9647601bps,108,
136806.614,7.412,10.0.0.2,42676,honest,109,94,130.466,0.512,9,5925216,5754352,9678046bps,109,
136806.714,7.512,10.0.0.2,42676,honest,110,94,132.122,0.263,9,6046848,5874536,9644420bps,110,
136806.815,7.612,10.0.0.3,44444,attacker,10,42230,160.26,80.13,,,,728816bps,,
136806.815,7.612,10.0.0.2,42676,honest,111,94,133.029,0.407,9,6168480,5994720,9665742bps,111,
136806.915,7.712,10.0.0.3,44444,attacker,10,42230,160.26,80.13,,,,728816bps,,
