timestamp,elapsed_s,bytes_this_interval,goodput_mbps,total_bytes
52143.428,1.0,786432,6.2161,786432
52144.445,2.0,1376256,10.8353,2162688
52145.486,3.1,1245184,9.5622,3407872
52146.528,4.1,1245184,9.5635,4653056
52147.570,5.2,1245184,9.5632,5898240
52148.611,6.2,1245184,9.5634,7143424
52149.653,7.2,1245184,9.5634,8388608
52150.695,8.3,1245184,9.5632,9633792
52151.736,9.3,1245184,9.5628,10878976
52152.778,10.4,1245184,9.5625,12124160
52153.896,11.5,1179648,8.4416,13303808
52154.916,12.5,1376256,10.7962,14680064
52155.957,13.5,1245184,9.5633,15925248
52157.060,14.6,1245184,9.0362,17170432
52158.095,15.7,1310720,10.1267,18481152
52159.137,16.7,1245184,9.5631,19726336
52160.178,17.8,1245184,9.5636,20971520
52161.220,18.8,1245184,9.5621,22216704
52162.262,19.8,1245184,9.5634,23461888
52163.303,20.9,1245184,9.5632,24707072
52164.345,21.9,1245184,9.5637,25952256
52165.385,23.0,1245184,9.5744,27197440
52166.427,24.0,1245184,9.5627,28442624
52167.469,25.1,1245184,9.5604,29687808
52168.511,26.1,1245184,9.5627,30932992
52169.552,27.1,1245184,9.5632,32178176
52170.594,28.2,1245184,9.5636,33423360
52171.636,29.2,1245184,9.5630,34668544
52172.677,30.3,1245184,9.5629,35913728
52173.719,31.3,1245184,9.5630,37158912
52174.761,32.3,1245184,9.5627,38404096
52175.802,33.4,1245184,9.5629,39649280
52176.844,34.4,1245184,9.5630,40894464
52177.886,35.5,1245184,9.5636,42139648
52178.927,36.5,1245184,9.5633,43384832
52179.969,37.6,1245184,9.5619,44630016
52181.010,38.6,1245184,9.5743,45875200
52182.051,39.6,1245184,9.5620,47120384
52183.093,40.7,1245184,9.5613,48365568
52184.135,41.7,1245184,9.5642,49610752
52185.176,42.8,1245184,9.5634,50855936
52186.218,43.8,1245184,9.5633,52101120
52187.260,44.8,1245184,9.5631,53346304
52188.301,45.9,1245184,9.5631,54591488
52189.343,46.9,1245184,9.5638,55836672
52190.385,48.0,1245184,9.5630,57081856
52191.426,49.0,1245184,9.5614,58327040
52192.468,50.1,1245184,9.5612,59572224
52193.510,51.1,1245184,9.5634,60817408
52194.552,52.1,1245184,9.5622,62062592
52195.593,53.2,1245184,9.5642,63307776
52196.634,54.2,1245184,9.5735,64552960
52197.675,55.3,1245184,9.5639,65798144
52198.717,56.3,1245184,9.5606,67043328
52199.759,57.3,1245184,9.5635,68288512
52200.801,58.4,1245184,9.5621,69533696
52201.842,59.4,1245184,9.5633,70778880
