timestamp,elapsed_s,sent_bytes,sent_pkts,dropped,overlimits,backlog_bytes,backlog_pkts
1880.475,0.000,180,2,0,0,0,0
1880.575,0.100,180,2,0,0,0,0
1880.675,0.201,180,2,0,0,0,0
1880.776,0.301,180,2,0,0,0,0
1880.876,0.401,180,2,0,0,0,0
1880.976,0.501,180,2,0,0,0,0
1881.076,0.601,180,2,0,0,0,0
1881.176,0.702,180,2,0,0,0,0
1881.277,0.802,180,2,0,0,0,0
1881.377,0.902,180,2,0,0,0,0
1881.477,1.002,180,2,0,0,0,0
1881.577,1.102,180,2,0,0,0,0
1881.677,1.203,180,2,0,0,0,0
1881.778,1.303,180,2,0,0,0,0
1881.878,1.403,180,2,0,0,0,0
1881.978,1.503,180,2,0,0,0,0
1882.078,1.603,180,2,0,0,0,0
1882.178,1.704,180,2,0,0,0,0
1882.279,1.804,180,2,0,0,0,0
1882.379,1.904,180,2,0,0,0,0
1882.479,2.004,180,2,0,0,0,0
1882.579,2.104,222,3,0,0,0,0
1882.679,2.205,222,3,0,0,74,1
1882.780,2.305,296,4,0,0,15206,11
1882.880,2.405,15502,15,0,18,30280,20
1882.980,2.505,45782,35,0,56,60560,40
1883.080,2.605,106342,75,0,134,81756,54
1883.180,2.705,209294,143,0,297,99924,66
1883.280,2.806,330414,223,0,530,127176,84
1883.381,2.906,454562,305,0,775,131718,87
1883.481,3.006,580224,388,0,1020,137774,91
1883.581,3.106,704372,470,0,1228,143830,95
1883.681,3.206,831548,554,0,1442,148372,98
1883.781,3.306,955696,636,0,1651,157456,104
1883.881,3.406,1081358,719,0,1861,163512,108
1883.981,3.507,1205506,801,0,2069,169568,112
1884.081,3.607,1331168,884,0,2280,175624,116
1884.182,3.707,1456830,967,0,2490,181680,120
1884.282,3.807,1582492,1050,0,2701,187736,124
1884.382,3.907,1706640,1132,0,2909,195306,129
1884.482,4.007,1832302,1215,0,3119,198334,131
1884.582,4.107,1956450,1297,0,3327,205904,136
1884.682,4.207,2082112,1380,0,3539,214988,142
1884.782,4.308,2207774,1463,0,3749,218016,144
1884.882,4.408,2331922,1545,0,3958,227100,150
1884.983,4.508,2457584,1628,0,4168,230128,152
1885.083,4.608,2583246,1711,0,4379,237698,157
1885.183,4.708,2707394,1793,0,4588,245268,162
1885.283,4.808,2833056,1876,0,4798,249810,165
1885.383,4.908,2958718,1959,0,5008,255866,169
1885.483,5.008,3082866,2041,0,5217,263436,174
1885.583,5.109,3208528,2124,0,5426,266464,176
1885.683,5.209,3334190,2207,0,5637,274034,181
1885.784,5.309,3458338,2289,0,5845,280090,185
1885.884,5.409,3584000,2372,0,6057,289174,191
1885.984,5.509,3709662,2455,0,6266,292202,193
1886.084,5.609,3835324,2538,0,6477,299772,198
1886.184,5.709,3959472,2620,0,6685,305828,202
1886.284,5.809,4085134,2703,0,6895,311884,206
1886.384,5.910,4209282,2785,0,7104,319454,211
1886.484,6.010,4334944,2868,0,7314,325510,215
1886.585,6.110,4459092,2950,0,7522,331566,219
1886.685,6.210,4584754,3033,0,7733,339136,224
1886.785,6.310,4710416,3116,0,7943,343678,227
1886.885,6.410,4834564,3198,0,8152,351248,232
1886.985,6.510,4960226,3281,0,8362,355790,235
1887.085,6.611,5085888,3364,0,8572,361846,239
1887.185,6.711,5211550,3447,0,8783,369416,244
1887.286,6.811,5337212,3530,0,8993,373958,247
1887.386,6.911,5461360,3612,0,9202,383042,253
1887.486,7.011,5585508,3694,0,9413,389098,257
1887.586,7.111,5711170,3777,0,9624,390612,258
1887.686,7.211,5835318,3859,0,9833,401210,265
1887.786,7.311,5962494,3943,0,10046,407266,269
1887.886,7.411,6086642,4025,0,10260,411808,272
1887.986,7.512,6210790,4107,0,10468,419378,277
1888.086,7.612,6336452,4190,0,10679,425434,281
1888.187,7.712,6462114,4273,0,10889,431490,285
1888.287,7.812,6587776,4356,0,11108,439060,290
1888.387,7.912,6713438,4439,0,11317,440574,291
1888.487,8.012,6837586,4521,0,11527,449658,297
1888.587,8.112,6963248,4604,0,11738,457228,302
1888.687,8.212,7088910,4687,0,11955,461770,305
1888.787,8.313,7213058,4769,0,12164,470854,311
1888.887,8.413,7338720,4852,0,12374,475396,314
1888.988,8.513,7462868,4934,0,12582,481452,318
1889.088,8.613,7588530,5017,0,12803,487508,322
1889.188,8.713,7714192,5100,0,13015,496592,328
1889.288,8.813,7839854,5183,0,13225,499620,330
1889.388,8.913,7964002,5265,0,13433,505676,334
1889.488,9.013,8089664,5348,0,13652,513246,339
1889.588,9.113,8215326,5431,0,13863,519302,343
1889.688,9.214,8339474,5513,0,14071,526872,348
1889.789,9.314,8465136,5596,0,14281,531414,351
1889.889,9.414,8589284,5678,0,14489,537470,355
1889.989,9.514,8714946,5761,0,14710,545040,360
1890.089,9.614,8840608,5844,0,14920,549582,363
1890.189,9.714,8966270,5927,0,15131,555638,367
1890.289,9.814,9090418,6009,0,15339,,
1890.389,9.914,9216080,6092,0,15549,567750,375
1890.489,10.015,9340228,6174,0,15769,575320,380
1890.589,10.115,9465890,6257,0,15980,581376,384
1890.690,10.215,9591552,6340,0,16191,587432,388
1890.790,10.315,9715700,6422,0,16400,596516,394
1890.890,10.415,9841362,6505,0,16609,,
1890.990,10.515,9965510,6587,0,16831,607114,401
1891.090,10.615,10092686,6671,0,17044,613170,405
1891.190,10.715,10216834,6753,0,17251,616198,407
1891.290,10.816,10340982,6835,0,17462,626796,414
1891.390,10.916,10466644,6918,0,17672,631338,417
1891.491,11.016,10592306,7001,0,17893,638908,422
1891.591,11.116,10717968,7084,0,18103,641936,424
1891.691,11.216,10842116,7166,0,18312,651020,430
1891.791,11.316,10967778,7249,0,18524,658590,435
1891.891,11.416,11093440,7332,0,18734,663132,438
1891.991,11.516,11217588,7414,0,18944,670702,443
1892.091,11.617,11343250,7497,0,19162,675244,446
1892.191,11.717,11467398,7579,0,19371,684328,452
1892.292,11.817,11593060,7662,0,19582,690384,456
1892.392,11.917,11718722,7745,0,19793,694926,459
1892.492,12.017,11844384,7828,0,20003,699468,462
1892.592,12.117,11968532,7910,0,20220,708552,468
1892.692,12.217,12094194,7993,0,20436,714608,472
1892.792,12.317,12219856,8076,0,20646,719150,475
1892.892,12.418,12345518,8159,0,20857,726720,480
1892.992,12.518,12469666,8241,0,21066,732776,484
1893.093,12.618,12595328,8324,0,21276,737318,487
1893.193,12.718,12720990,8407,0,21490,744888,492
1893.293,12.818,12845138,8489,0,21708,752458,497
1893.393,12.918,12970800,8572,0,21918,757000,500
1893.493,13.018,13094948,8654,0,22127,764570,505
1893.593,13.118,13220610,8737,0,22337,769112,508
1893.693,13.219,13346272,8820,0,22548,776682,513
1893.793,13.319,13470420,8902,0,22758,788794,521
1893.894,13.419,13596082,8985,0,22982,797878,527
1893.994,13.519,13720230,9067,0,23193,813018,537
1894.094,13.619,13847406,9151,0,23409,825130,545
1894.194,13.719,13971554,9233,0,23622,,
1894.294,13.819,14095702,9315,0,23832,856924,566
1894.394,13.919,14221364,9398,0,24047,876606,579
1894.494,14.020,14347026,9481,0,24261,893260,590
1894.594,14.120,14471174,9563,0,24494,911428,602
1894.695,14.220,14596836,9646,0,24708,928082,613
1894.795,14.320,14722498,9729,0,24923,947764,626
1894.895,14.420,14846646,9811,0,25136,967446,639
1894.995,14.520,14972308,9894,0,25351,988642,653
1895.095,14.620,15097970,9977,0,25567,1009838,667
1895.195,14.720,15223632,10060,0,25781,1028006,679
1895.295,14.820,15347780,10142,0,26004,1052230,695
1895.395,14.921,15473442,10225,0,26253,1073426,709
1895.496,15.021,15599104,10308,0,26488,1090080,720
1895.596,15.121,15723252,10390,0,26702,1112790,735
1895.696,15.221,15848914,10473,0,26917,1132472,748
1895.796,15.321,15974576,10556,0,27133,1156696,764
1895.896,15.421,16098724,10638,0,27348,1182434,781
1895.996,15.521,16224386,10721,0,27564,1205144,796
1896.096,15.621,16348534,10803,0,27779,1230882,813
1896.196,15.722,16474196,10886,0,28010,1259648,832
1896.296,15.822,16599858,10969,0,28259,1283872,848
1896.397,15.922,16725520,11052,0,28502,1308096,864
1896.497,16.022,16849668,11134,0,28716,1332320,880
1896.597,16.122,16975330,11217,0,28933,1358058,897
1896.697,16.222,17100992,11300,0,29149,1380768,912
1896.797,16.322,17225140,11382,0,29364,1408020,930
1896.897,16.422,17350802,11465,0,29581,1432244,946
1896.997,16.523,17476464,11548,0,29799,1459496,964
1897.097,16.623,17600612,11630,0,30012,1482206,979
1897.198,16.723,17726274,11713,0,30229,1507944,996
1897.298,16.823,17851936,11796,15,30478,,
1897.398,16.923,17976084,11878,34,30723,1514000,1000
1897.498,17.023,18100232,11960,54,30959,1514000,1000
1897.598,17.123,18225894,12043,76,31179,,
1897.698,17.223,18351556,12126,96,31397,1512486,999
1897.798,17.324,18477218,12209,117,31617,,
1897.899,17.424,18602880,12292,137,31835,1514000,1000
1897.999,17.524,18727028,12374,157,32051,1512486,999
1898.099,17.624,18852690,12457,179,32271,1514000,1000
1898.199,17.724,18978352,12540,200,32490,1514000,1000
1898.299,17.824,19102500,12622,220,32706,1514000,1000
1898.399,17.924,19228162,12705,241,32925,1512486,999
1898.499,18.024,19352310,12787,260,33155,1512486,999
1898.599,18.125,19477972,12870,260,33379,1474636,974
1898.699,18.225,19603634,12953,260,33604,1438300,950
1898.800,18.325,19729296,13036,260,33827,1398936,924
1898.900,18.425,19853444,13118,260,34048,1361086,899
1899.000,18.525,19979106,13201,260,34272,1323236,874
1899.100,18.625,20104768,13284,260,34496,1285386,849
1899.200,18.725,20228916,13366,260,34718,1249050,825
1899.300,18.826,20354578,13449,260,34942,1211200,800
1899.400,18.926,20480240,13532,260,35176,1188490,785
1899.501,19.026,20605902,13615,260,35426,1190004,786
1899.601,19.126,20730050,13697,260,35672,1190004,786
1899.701,19.226,20854198,13779,260,35917,1190004,786
1899.801,19.326,20979860,13862,260,36207,1317180,870
1899.901,19.426,21104008,13944,260,36453,1317180,870
1900.001,19.526,21229670,14027,260,36701,1315666,869
1900.101,19.627,21355332,14110,260,36951,1317180,870
1900.201,19.727,21479480,14192,260,37197,1317180,870
1900.302,19.827,21605142,14275,260,37446,1317180,870
1900.402,19.927,21730804,14358,260,37694,1315666,869
1900.502,20.027,21856466,14441,260,37943,1315666,869
1900.602,20.127,21982128,14524,260,38192,1315666,869
1900.702,20.227,22106276,14606,260,38439,1317180,870
1900.802,20.327,22231938,14689,260,38687,1317180,870
1900.902,20.428,22356086,14771,260,38933,1320208,872
1901.002,20.528,22483262,14855,260,39184,1323236,874
1901.103,20.628,22607410,14937,260,39430,1329292,878
1901.203,20.728,22733072,15020,260,39679,1335348,882
1901.303,20.828,22857220,15102,260,39926,1342918,887
1901.403,20.928,22982882,15185,260,40175,1352002,893
1901.503,21.028,23107030,15267,260,40421,1359572,898
1901.603,21.128,23232692,15350,260,40670,1368656,904
1901.703,21.229,23358354,15433,260,40919,1377740,910
1901.803,21.329,23484016,15516,260,41167,1386824,916
1901.904,21.429,23608164,15598,260,41414,1398936,924
1902.004,21.529,23733826,15681,260,41662,1406506,929
1902.104,21.629,23859488,15764,260,41911,1417104,936
1902.204,21.729,23983636,15846,260,42158,1429216,944
1902.304,21.829,24109298,15929,260,42407,1439814,951
