timestamp,elapsed_s,cwnd,ssthresh,rtt,rttvar,retrans,bytes_sent,bytes_acked,send_rate,unacked,snd_wnd
3876.114,0.000,,,,,,,,,,
3876.215,0.100,,,,,,,,,,
3876.315,0.201,,,,,,,,,,
3876.415,0.301,,,,,,,,,,
3876.515,0.401,,,,,,,,,,
3876.615,0.501,,,,,,,,,,
3876.715,0.601,,,,,,,,,,
3876.816,0.701,,,,,,,,,,
3876.916,0.802,,,,,,,,,,
3877.016,0.902,,,,,,,,,,
3877.116,1.002,,,,,,,,,,
3877.216,1.102,,,,,,,,,,
3877.317,1.203,,,,,,,,,,
3877.417,1.303,,,,,,,,,,
3877.517,1.403,,,,,,,,,,
3877.617,1.503,,,,,,,,,,
3877.717,1.603,,,,,,,,,,
3877.818,1.704,,,,,,,,,,
3877.918,1.804,,,,,,,,,,
3878.018,1.904,,,,,,,,,,
3878.118,2.004,,,,,,,,,,
3878.218,2.104,,,,,,,,,,
3878.319,2.204,,,,,,,,,,
3878.419,2.305,10,42230,100.52,50.26,,14480,,1.2Mbps,10,
3878.519,2.405,20,42230,104.984,7.586,,43440,14480,2.2Mbps,20,
3878.619,2.505,40,42230,107.187,4.195,,101360,43440,4.3Mbps,40,
3878.719,2.605,63,42230,110.164,3.563,,167968,76744,6.6Mbps,63,
3878.819,2.705,102,42230,111.271,3.092,,280912,133216,10.6Mbps,102,
3878.919,2.805,125,122,111.411,2.068,,430056,249056,13.0Mbps,125,
3879.019,2.905,129,122,150.641,0.605,,554584,367792,9.9Mbps,129,
3879.120,3.005,133,122,152.776,0.716,,680560,487976,10.1Mbps,133,
3879.220,3.106,137,122,158.188,0.761,,805088,608160,10.0Mbps,136,
3879.320,3.206,141,122,161.865,0.826,,931064,726896,10.1Mbps,141,
3879.420,3.306,145,122,166.547,1.226,,1055592,845632,10.1Mbps,145,
3879.520,3.406,149,122,170.6,0.315,,1181568,965816,10.1Mbps,149,
3879.620,3.506,153,122,175.298,0.537,,1306096,1084552,10.1Mbps,153,
3879.720,3.606,158,122,180.175,0.545,,1433520,1204736,10.2Mbps,158,
3879.820,3.706,162,122,185.104,0.42,,1560944,1326368,10.1Mbps,162,
3879.921,3.806,166,122,190.176,1.72,,1684024,1443656,10.1Mbps,166,
3880.021,3.907,170,122,194.712,1.453,,1810000,1563840,10.1Mbps,170,
3880.121,4.007,174,122,199.995,1.638,,1937424,1685472,10.1Mbps,174,
3880.221,4.107,178,122,204.199,1.365,,2061952,1804208,10.1Mbps,178,
3880.321,4.207,182,122,208.68,0.756,,2187928,1924392,10.1Mbps,182,
3880.421,4.307,186,122,213.922,0.732,,2312456,2043128,10.1Mbps,186,
3880.521,4.407,191,122,217.823,0.296,,2438432,2161864,10.2Mbps,191,
3880.621,4.507,195,122,222.591,0.448,,2564408,2283496,10.1Mbps,194,
3880.722,4.607,199,122,228.504,1.119,,2691832,2403680,10.1Mbps,199,
3880.822,4.708,203,122,233.113,0.867,,2814912,2520968,10.1Mbps,203,
3880.922,4.808,207,122,238.166,1.12,,2940888,2641152,10.1Mbps,207,
3881.022,4.908,211,122,242.225,0.207,,3068312,2762784,10.1Mbps,211,
3881.122,5.008,215,122,247.531,1.661,,3192840,2881520,10.1Mbps,215,
3881.222,5.108,220,122,251.959,1.408,,3317368,3000256,10.1Mbps,219,
3881.322,5.208,224,122,256.592,0.341,,3444792,3121888,10.1Mbps,223,
3881.422,5.308,228,122,261.564,1.41,,3569320,3240624,10.1Mbps,227,
3881.523,5.408,232,122,266.539,1.75,,3696744,3360808,10.1Mbps,232,
3881.623,5.509,236,122,271.039,1.469,,3821272,3479544,10.1Mbps,236,
3881.723,5.609,240,122,275.574,1.536,,3944352,3598280,10.1Mbps,239,
