timestamp,elapsed_s,bytes_this_interval,goodput_mbps,total_bytes
136693.921,1.0,917504,7.2064,917504
136694.929,2.0,983040,7.7977,1900544
136695.990,3.1,1114112,8.4042,3014656
136697.022,4.1,1114112,8.6373,4128768
136698.051,5.1,1179648,9.1730,5308416
136699.102,6.2,1179648,8.9803,6488064
136700.124,7.2,1048576,8.2050,7536640
136701.133,8.2,1179648,9.3490,8716288
136702.176,9.3,1245184,9.5519,9961472
136703.218,10.3,1245184,9.5620,11206656
136704.260,11.4,1245184,9.5642,12451840
136705.317,12.4,1179648,8.9269,13631488
136706.347,13.4,1114112,8.6547,14745600
136707.392,14.5,1245184,9.5277,15990784
136708.432,15.5,1048576,8.0676,17039360
136709.490,16.6,1114112,8.4260,18153472
136710.517,17.6,1114112,8.6766,19267584
136711.557,18.7,1179648,9.0749,20447232
136712.604,19.7,1245184,9.5153,21692416
136713.624,20.7,1114112,8.7353,22806528
136714.635,21.7,1114112,8.8124,23920640
136715.678,22.8,1245184,9.5555,25165824
136716.734,23.8,1048576,7.9411,26214400
136717.786,24.9,1114112,8.4711,27328512
136718.813,25.9,1114112,8.6849,28442624
136719.847,26.9,1179648,9.1275,29622272
136720.890,28.0,1245184,9.5449,30867456
136721.928,29.0,1114112,8.5918,31981568
136722.981,30.1,1179648,8.9590,33161216
136724.023,31.1,1245184,9.5632,34406400
136725.044,32.1,1048576,8.2104,35454976
136726.059,33.2,1179648,9.3032,36634624
136727.075,34.2,1179648,9.2851,37814272
136728.084,35.2,1048576,8.3182,38862848
136729.138,36.2,1245184,9.4479,40108032
136730.200,37.3,1114112,8.3896,41222144
136731.212,38.3,1048576,8.2895,42270720
136732.245,39.3,1114112,8.6301,43384832
136733.299,40.4,1179648,8.9513,44564480
136734.349,41.4,1245184,9.4923,45809664
136735.391,42.5,1179648,9.0503,46989312
136736.436,43.5,1114112,8.5346,48103424
136737.481,44.6,1245184,9.5275,49348608
136738.531,45.6,1114112,8.4904,50462720
136739.572,46.7,1179648,9.0655,51642368
136740.712,47.8,1245184,8.7385,52887552
136741.757,48.9,1179648,9.0348,54067200
136742.761,49.9,1179648,9.4004,55246848
136743.790,50.9,1114112,8.6575,56360960
136744.815,51.9,1048576,8.1877,57409536
136745.853,53.0,1114112,8.5836,58523648
136746.858,54.0,1114112,8.8651,59637760
136747.863,55.0,1179648,9.3900,60817408
136748.899,56.0,1114112,8.6068,61931520
136749.938,57.0,1179648,9.0819,63111168
136750.940,58.0,1179648,9.4175,64290816
136751.971,59.1,1114112,8.6438,65404928
