timestamp,elapsed_s,sent_bytes,sent_pkts,dropped,overlimits,backlog_bytes,backlog_pkts
2281.359,0.000,180,2,0,0,0,0
2281.459,0.100,180,2,0,0,0,0
2281.559,0.201,180,2,0,0,0,0
2281.659,0.301,180,2,0,0,0,0
2281.759,0.401,180,2,0,0,0,0
2281.860,0.501,180,2,0,0,0,0
2281.960,0.602,180,2,0,0,0,0
2282.060,0.702,180,2,0,0,0,0
2282.160,0.802,180,2,0,0,0,0
2282.261,0.902,180,2,0,0,0,0
2282.361,1.002,180,2,0,0,0,0
2282.461,1.103,180,2,0,0,0,0
2282.561,1.203,180,2,0,0,0,0
2282.662,1.303,180,2,0,0,0,0
2282.762,1.403,180,2,0,0,0,0
2282.862,1.504,180,2,0,0,0,0
2282.962,1.604,180,2,0,0,0,0
2283.062,1.704,180,2,0,0,0,0
2283.163,1.804,180,2,0,0,0,0
2283.263,1.904,180,2,0,0,0,0
2283.363,2.005,180,2,0,0,0,0
2283.463,2.105,222,3,0,0,0,0
2283.563,2.205,222,3,0,0,74,1
2283.664,2.305,296,4,0,0,15206,11
2283.764,2.405,15502,15,0,18,30280,20
2283.864,2.506,45782,35,0,56,60560,40
2283.964,2.606,106342,75,0,134,81756,54
2284.064,2.706,209294,143,0,296,96896,64
2284.164,2.806,328900,222,0,527,127176,84
2284.265,2.906,454562,305,0,776,133232,88
2284.365,3.006,580224,388,0,1020,137774,91
2284.465,3.106,704372,470,0,1228,143830,95
2284.565,3.207,828520,552,0,1438,151400,100
2284.665,3.307,954182,635,0,1648,155942,103
2284.765,3.407,1079844,718,0,1858,161998,107
2284.865,3.507,1203992,800,0,2066,168054,111
2284.965,3.607,1329654,883,0,2278,,
2285.066,3.707,1455316,966,0,2488,183194,121
2285.166,3.807,1579464,1048,0,2696,187736,124
2285.266,3.907,1705126,1131,0,2906,193792,128
2285.366,4.008,1830788,1214,0,3117,199848,132
2285.466,4.108,1956450,1297,0,3327,205904,136
2285.566,4.208,2080598,1379,0,3536,214988,142
2285.666,4.308,2206260,1462,0,3747,219530,145
2285.766,4.408,2330408,1544,0,3955,225586,149
2285.867,4.508,2456070,1627,0,4166,231642,153
2285.967,4.608,2581732,1710,0,4376,236184,156
2286.067,4.708,2707394,1793,0,4588,245268,162
2286.167,4.809,2831542,1875,0,4796,251324,166
2286.267,4.909,2957204,1958,0,5006,257380,170
2286.367,5.009,3081352,2040,0,5214,261922,173
2286.467,5.109,3207014,2123,0,5424,267978,177
2286.567,5.209,3332676,2206,0,5635,275548,182
2286.668,5.309,3458338,2289,0,5845,280090,185
2286.768,5.409,3582486,2371,0,6054,287660,190
2286.868,5.509,3708148,2454,0,6264,293716,194
2286.968,5.610,3832296,2536,0,6472,299772,198
2287.068,5.710,3957958,2619,0,6683,307342,203
2287.168,5.810,4083620,2702,0,6893,313398,207
2287.268,5.910,4209282,2785,0,7104,319454,211
2287.368,6.010,4334944,2868,0,7314,325510,215
2287.469,6.110,4459092,2950,0,7522,331566,219
2287.569,6.210,4584754,3033,0,7732,336108,222
2287.669,6.310,4708902,3115,0,7940,342164,226
2287.769,6.411,4834564,3198,0,8152,351248,232
2287.869,6.511,4958712,3280,0,8360,357304,236
2287.969,6.611,5085888,3364,0,8572,361846,239
2288.069,6.711,5210036,3446,0,8780,367902,243
2288.170,6.811,5335698,3529,0,8991,375472,248
2288.270,6.911,5459846,3611,0,9199,381528,252
2288.370,7.011,5590050,3697,0,9422,389098,257
2288.470,7.112,5715712,3780,0,9633,395154,261
2288.570,7.212,5839860,3862,0,9841,401210,265
2288.670,7.312,5965522,3945,0,10052,408780,270
2288.770,7.412,6091184,4028,0,10268,413322,273
2288.870,7.512,6216846,4111,0,10478,419378,277
2288.970,7.612,6334938,4189,0,10677,423962,281
2289.071,7.712,6460600,4272,0,10888,433046,287
2289.171,7.812,6586262,4355,0,11108,437588,290
2289.271,7.912,6710410,4437,0,11316,443644,294
2289.371,8.013,6837628,4522,0,11533,449720,298
2289.471,8.113,6963290,4605,0,11744,457290,303
2289.571,8.213,7088952,4688,0,11960,,
2289.671,8.313,7213100,4770,0,12169,470916,312
2289.771,8.413,7337310,4853,0,12379,476910,315
2289.872,8.513,7462972,4936,0,12589,481452,318
2289.972,8.613,7588634,5019,0,12807,485994,321
2290.072,8.713,7714296,5102,0,13018,,
2290.172,8.814,7838444,5184,0,13227,501134,331
2290.272,8.914,7964106,5267,0,13437,505676,334
2290.372,9.014,8089768,5350,0,13663,528440,350
2290.472,9.114,8213916,5432,0,13870,,
2290.573,9.214,8338064,5514,0,14079,540552,358
2290.673,9.314,8463726,5597,0,14289,545094,361
2290.773,9.414,8589442,5681,0,14502,552610,365
2290.873,9.515,8715104,5764,0,14708,545040,360
2290.973,9.615,8839252,5846,0,14916,551096,364
2291.073,9.715,8964914,5929,0,15125,554124,366
2291.173,9.815,9089062,6011,0,15335,564722,373
2291.273,9.915,9214724,6094,0,15544,567750,375
2291.374,10.015,9340386,6177,0,15787,575374,381
2291.474,10.115,9466048,6260,0,16005,579916,384
2291.574,10.215,9590196,6342,0,16214,589000,390
2291.674,10.316,9715858,6425,0,16425,593542,393
2291.774,10.416,9841520,6508,0,16637,602626,399
2291.874,10.516,9965722,6591,0,16847,608628,402
2291.974,10.616,10091384,6674,0,17058,613224,406
2292.075,10.716,10215532,6756,0,17266,619280,410
2292.175,10.816,10341194,6839,0,17479,628364,416
2292.275,10.916,10465342,6921,0,17686,632906,419
2292.375,11.017,10591004,7004,0,17898,637448,422
2292.475,11.117,10716720,7088,0,18111,643504,426
2292.575,11.217,10840868,7170,0,18320,651074,431
2292.675,11.317,10968044,7254,0,18533,655616,434
2292.775,11.417,11092192,7336,0,18742,664700,440
2292.876,11.517,11217854,7419,0,18952,669242,443
2292.976,11.617,11343570,7503,0,19174,,
2293.076,11.717,11467718,7585,0,19382,679840,450
2293.176,11.818,11593380,7668,0,19593,687410,455
2293.276,11.918,11717528,7750,0,19803,694980,460
2293.376,12.018,11843190,7833,0,20013,699522,463
2293.476,12.118,11968906,7917,0,20230,,
2293.576,12.218,12094568,8000,0,20450,713148,472
2293.677,12.318,12218716,8082,0,20658,719204,476
2293.777,12.418,12344378,8165,0,20868,723746,479
2293.877,12.519,12468526,8247,0,21078,732830,485
2293.977,12.619,12595702,8331,0,21291,737426,489
2294.077,12.719,12719904,8414,0,21500,740400,490
2294.177,12.819,12845566,8497,0,21722,747970,495
2294.277,12.919,12969714,8579,0,21931,757054,501
2294.378,13.019,13095376,8662,0,22141,761596,504
2294.478,13.119,13219524,8744,0,22351,772194,511
2294.578,13.219,13345240,8828,0,22565,779764,516
2294.678,13.319,13470902,8911,0,22777,790362,523
2294.778,13.420,13596564,8994,0,23001,800960,530
2294.878,13.520,13720712,9076,0,23212,816100,540
2294.978,13.620,13844860,9158,0,23423,831240,550
2295.078,13.720,13970522,9241,0,23637,843406,559
2295.178,13.820,14096238,9325,0,23852,856978,567
2295.279,13.920,14221900,9408,0,24066,875146,579
2295.379,14.020,14346048,9490,0,24278,893314,591
2295.479,14.121,14471710,9573,0,24514,908454,601
2295.579,14.221,14595858,9655,0,24728,929704,616
2295.679,14.321,14721574,9739,0,24944,946304,626
2295.779,14.421,14847236,9822,0,25160,967500,640
2295.879,14.521,14972898,9905,0,25375,988696,654
2295.980,14.621,15097046,9987,0,25588,1009892,668
2296.080,14.721,15222708,10070,0,25804,1029628,682
2296.180,14.821,15346856,10152,0,26020,1052338,697
2296.280,14.922,15474086,10237,0,26273,1071966,709
2296.380,15.022,15598234,10319,0,26514,1091648,722
2296.480,15.122,15723896,10402,0,26729,1111330,735
2296.580,15.222,15848044,10484,0,26943,1132580,750
2296.681,15.322,15975220,10568,0,27163,1156804,766
2296.781,15.422,16099368,10650,0,27378,1182542,783
2296.881,15.522,16223570,10733,0,27594,1206712,798
2296.981,15.623,16349232,10816,0,27811,1232450,815
2297.081,15.723,16474894,10899,0,28036,1259756,834
2297.181,15.823,16599042,10981,0,28280,1282466,849
2297.281,15.923,16723190,11063,0,28527,1309718,867
2297.381,16.023,16848852,11146,0,28743,1332428,882
2297.482,16.123,16974568,11230,0,28963,1359626,899
2297.582,16.223,17100230,11313,0,29180,1380876,914
2297.682,16.323,17225892,11396,0,29398,1409642,933
2297.782,16.424,17350040,11478,0,29611,1432352,948
2297.882,16.524,17475702,11561,0,29829,1456576,964
2297.982,16.624,17599850,11643,0,30044,1483828,982
2298.082,16.724,17725566,11727,0,30262,1506484,996
2298.182,16.824,17849714,11809,16,30502,1512594,1001
2298.283,16.924,17975376,11892,37,30751,1512594,1001
2298.383,17.024,18101038,11975,57,31000,1512594,1001
2298.483,17.124,18226700,12058,77,31218,1511080,1000
2298.583,17.224,18350848,12140,97,31434,1511080,1000
2298.683,17.325,18476564,12224,119,31657,1512540,1000
2298.783,17.425,18602226,12307,140,31876,1512540,1000
2298.883,17.525,18726374,12389,160,32092,1512540,1000
2298.983,17.625,18852036,12472,181,32311,1511026,999
2299.084,17.725,18977698,12555,201,32530,1512540,1000
2299.184,17.825,19101846,12637,223,32748,1512594,1001
2299.284,17.925,19227508,12720,244,32967,1511080,1000
2299.384,18.025,19353224,12804,259,33189,1503456,994
2299.484,18.126,19477372,12886,259,33411,1467120,970
2299.584,18.226,19603034,12969,259,33635,1429270,945
2299.684,18.326,19728696,13052,259,33860,1391474,921
2299.784,18.426,19852844,13134,259,34082,1355138,897
2299.884,18.526,19978506,13217,259,34304,1315774,871
2299.985,18.626,20102654,13299,259,34526,1279438,847
2300.085,18.726,20229830,13383,259,34754,1243102,823
2300.185,18.826,20353978,13465,259,34976,1205306,799
2300.285,18.927,20479640,13548,259,35215,1190166,789
2300.385,19.027,20603842,13631,259,35463,1190112,788
2300.485,19.127,20727990,13713,259,35709,1190112,788
2300.585,19.227,20853652,13796,259,35958,1190112,788
2300.685,19.327,20979314,13879,259,36248,,
2300.786,19.427,21105030,13963,259,36499,1315774,871
2300.886,19.527,21230692,14046,259,36747,1314260,870
2300.986,19.628,21354840,14128,259,36994,1315774,871
2301.086,19.728,21480502,14211,259,37242,1314260,870
2301.186,19.828,21604704,14294,259,37490,1314206,869
2301.286,19.928,21730366,14377,259,37740,1314260,870
2301.386,20.028,21854514,14459,259,37986,1314260,870
2301.486,20.128,21981690,14543,259,38238,1314260,870
2301.587,20.228,22105838,14625,259,38483,1312746,869
2301.687,20.328,22229986,14707,259,38730,1314260,870
2301.787,20.428,22355702,14791,259,38982,1318802,873
2301.887,20.528,22481364,14874,259,39231,1323344,876
2301.987,20.629,22605512,14956,259,39477,1327886,879
2302.087,20.729,22731174,15039,259,39726,1333942,883
2302.187,20.829,22858350,15123,259,39977,1339998,887
2302.287,20.929,22982552,15206,259,40227,1349082,893
2302.388,21.029,23106700,15288,259,40473,1358166,899
2302.488,21.129,23233876,15372,259,40721,1367250,905
2302.588,21.229,23358024,15454,259,40930,1376334,911
2302.688,21.330,23483686,15537,259,41141,1383904,916
2302.788,21.430,23607888,15620,259,41353,1392988,922
2302.888,21.530,23733550,15703,259,41565,1403586,929
2302.988,21.630,23859212,15786,259,41777,1414184,936
2303.089,21.730,23983360,15868,259,41987,1426296,944
2303.189,21.830,24109022,15951,259,42200,1438408,952
2303.289,21.930,24233170,16033,259,42410,1449060,960
2303.389,22.031,24358886,16117,259,42624,1459604,966
2303.489,22.131,24484548,16200,259,42836,1470202,973
2303.589,22.231,24608696,16282,259,43046,1482314,981
2303.689,22.331,24734358,16365,259,43258,1492912,988
2303.789,22.431,24858506,16447,259,43469,1503564,996
2303.890,22.531,24985736,16532,259,43684,1511080,1000
2303.990,22.631,25109884,16614,267,43894,1511080,1000
2304.090,22.731,25235546,16697,274,44105,1509566,999
2304.190,22.832,25359694,16779,281,44316,1512594,1001
2304.290,22.932,25485356,16862,288,44528,1509620,1000
2304.390,23.032,25609504,16944,295,44738,1511134,1001
2304.490,23.132,25735220,17028,301,44952,1512594,1001
2304.590,23.232,25860882,17111,307,45163,1511080,1000
2304.691,23.332,25986544,17194,313,45374,1511080,1000
2304.791,23.432,26110692,17276,320,45584,1509620,1000
2304.891,23.532,26236354,17359,326,45796,1511134,1001
2304.991,23.633,26360556,17442,332,46008,1512594,1001
2305.091,23.733,26486218,17525,337,46218,1511080,1000
2305.191,23.833,26611880,17608,342,46435,1500482,993
2305.291,23.933,26737542,17691,342,46658,1461118,967
2305.391,24.033,26861690,17773,342,46881,1424836,944
2305.492,24.133,26987406,17857,342,47108,1388446,919
2305.592,24.233,27111554,17939,342,47329,1350596,894
2305.692,24.333,27237216,18022,342,47553,1312746,869
2305.792,24.433,27362878,18105,342,47777,1274896,844
2305.892,24.534,27488540,18188,342,48002,1237100,820
2305.992,24.634,27612742,18271,342,48226,1200710,795
2306.092,24.734,27736890,18353,342,48447,1162860,770
2306.192,24.834,27864066,18437,342,48674,1125010,745
2306.293,24.934,27988214,18519,342,48909,1108356,734
2306.393,25.034,28112362,18601,342,49157,1109924,736
2306.493,25.134,28238078,18685,342,49413,1126524,746
2306.593,25.235,28363740,18768,342,49662,1126524,746
2306.693,25.335,28489402,18851,342,49911,1126524,746
2306.793,25.435,28613550,18933,342,50157,1126524,746
2306.893,25.535,28739266,19017,342,50408,1125010,745
2306.993,25.635,28864928,19100,342,50658,1126524,746
2307.094,25.735,28989076,19182,342,50904,1126524,746
2307.194,25.835,29114738,19265,342,51153,1126524,746
2307.294,25.935,29240454,19349,342,51403,1124956,744
2307.394,26.036,29364602,19431,342,51648,1128038,747
2307.494,26.136,29491778,19515,342,51900,1131066,749
2307.594,26.236,29614412,19596,342,52142,1132580,750
2307.694,26.336,29740074,19679,342,52391,1137122,753
2307.795,26.436,29867304,19764,342,52645,1141610,755
2307.895,26.536,29991452,19846,342,52891,1144638,757
2307.995,26.636,30115600,19928,342,53138,1150748,762
2308.095,26.737,30241262,20011,342,53386,1153776,764
2308.195,26.837,30365410,20093,342,53633,1159832,768
2308.295,26.937,30492640,20178,342,53847,1162806,769
2308.395,27.037,30616788,20260,342,54055,1168862,773
2308.495,27.137,30740936,20342,342,54265,1178000,780
2308.596,27.237,30866598,20425,342,54475,1182542,783
2308.696,27.337,30992260,20508,342,54685,1187084,786
2308.796,27.437,31117922,20591,342,54896,1193140,790
2308.896,27.538,31243638,20675,342,55108,1199142,793
2308.996,27.638,31367786,20757,342,55318,1208280,800
2309.096,27.738,31491934,20839,342,55525,1211308,802
2309.196,27.838,31617596,20922,342,55736,1218878,807
2309.296,27.938,31743258,21005,342,55945,1221906,809
2309.397,28.038,31867460,21088,342,56156,1230936,814
2309.497,28.138,31993122,21171,342,56368,1238560,820
2309.597,28.238,32117270,21253,342,56575,1241588,822
2309.697,28.339,32242932,21336,342,56785,1246130,825
2309.797,28.439,32368594,21419,342,56996,1253700,830
2309.897,28.539,32492742,21501,342,57204,1259756,834
2309.997,28.639,32619972,21586,342,57419,1262784,836
2310.097,28.739,32744120,21668,342,57627,1268840,840
2310.197,28.839,32868268,21750,342,57834,1271868,842
2310.298,28.939,32993930,21833,342,58045,1279438,847
2310.398,29.039,33119592,21916,342,58254,1280952,848
2310.498,29.139,33243794,21999,342,58464,1286954,851
2310.598,29.240,33369456,22082,342,58674,1290036,854
2310.698,29.340,33495118,22165,342,58885,1297606,859
2310.798,29.440,33620780,22248,342,59094,1299120,860
2310.898,29.540,33746442,22331,342,59305,1305176,864
2310.998,29.640,33870590,22413,342,59511,1306690,865
2311.099,29.740,33996306,22497,342,59726,1314260,870
2311.199,29.840,34121968,22580,342,59936,1317288,872
2311.299,29.941,34246116,22662,342,60143,1318802,873
2311.399,30.041,34370264,22744,342,60350,1323344,876
2311.499,30.141,34497440,22828,342,60562,1326372,878
2311.599,30.241,34620128,22910,342,60770,1332428,882
2311.699,30.341,34745790,22993,342,60979,1333942,883
2311.800,30.441,34871452,23076,342,61188,1335456,884
2311.900,30.541,34995600,23158,342,61395,1338484,886
2312.000,30.642,35121262,23241,342,61605,1339998,887
2312.100,30.742,35248492,23326,342,61820,1346000,890
2312.200,30.842,35371126,23407,342,62024,1346054,891
2312.300,30.942,35498302,23491,342,62235,1346054,891
2312.400,31.042,35622450,23573,342,62443,1350596,894
2312.501,31.142,35746598,23655,342,62650,1353624,896
2312.601,31.242,35872260,23738,342,62858,1353624,896
2312.701,31.342,35997976,23822,342,63070,1355138,897
2312.801,31.443,36122124,23904,342,63277,1358166,899
2312.901,31.543,36247786,23987,342,63486,1359680,900
2313.001,31.643,36373448,24070,342,63694,1359680,900
2313.101,31.743,36497596,24152,342,63902,1364222,903
2313.201,31.843,36624826,24237,342,64116,1362708,902
2313.302,31.943,36748974,24319,342,64323,1365736,904
2313.402,32.043,36873122,24401,342,64531,1368764,906
2313.502,32.143,36998784,24484,342,64740,1368764,906
2313.602,32.244,37124446,24567,342,64949,1370278,907
2313.702,32.344,37248648,24650,342,65158,1370278,907
2313.802,32.444,37374310,24733,342,65367,1370278,907
2313.902,32.544,37499972,24816,342,65576,1371792,908
2314.002,32.644,37624120,24898,342,65782,1371792,908
2314.103,32.744,37749782,24981,342,65991,1374820,910
2314.203,32.844,37875444,25064,342,66200,1373360,910
2314.303,32.944,37999646,25147,342,66408,1374820,910
2314.403,33.045,38125308,25230,342,66617,1374820,910
2314.503,33.145,38250970,25313,342,66825,1374820,910
2314.603,33.245,38375118,25395,342,67032,1377848,912
2314.703,33.345,38500780,25478,342,67242,1376430,913
