timestamp,elapsed_s,peer_ip,peer_port,role,cwnd,ssthresh,rtt,rttvar,retrans,bytes_sent,bytes_acked,send_rate,unacked,snd_wnd
136692.877,2.305,10.0.0.2,41442,honest,10,42230,100.492,50.246,,14480,,1152729bps,10,
136692.978,2.406,10.0.0.2,41442,honest,20,42230,104.984,7.594,,43440,14480,2206812bps,20,
136693.078,2.506,10.0.0.2,41442,honest,40,42230,107.333,4.242,,101360,43440,4317032bps,40,
136693.178,2.606,10.0.0.2,41442,honest,64,42230,110.962,3.82,,170864,78192,6681350bps,64,
136693.278,2.706,10.0.0.2,41442,honest,103,42230,111.709,3.18,,283808,134664,10680894bps,103,
136693.378,2.806,10.0.0.2,41442,honest,125,122,111.469,2.06,,430056,249056,12990159bps,125,
136693.478,2.906,10.0.0.2,41442,honest,124,89,150.198,0.688,1,551688,353312,9563483bps,136,
136693.579,3.006,10.0.0.2,41442,honest,99,89,151.558,0.5,2,634224,353312,7566846bps,192,
136693.679,3.107,10.0.0.2,41442,honest,88,89,130.455,3.338,4,741376,474944,7814127bps,180,
136693.779,3.207,10.0.0.2,41442,honest,75,62,106.602,0.031,4,841288,603816,8149941bps,160,
136693.879,3.307,10.0.0.2,41442,honest,63,62,100.341,0.454,4,933960,836944,7273119bps,63,
136693.979,3.407,10.0.0.2,41442,honest,64,62,100.269,0.223,4,1026632,928168,7393870bps,64,
136694.079,3.507,10.0.0.2,41442,honest,65,62,100.262,0.129,4,1120752,1020840,7509924bps,65,
136694.179,3.607,10.0.0.2,41442,honest,66,62,101.617,0.459,4,1213424,1113512,7523780bps,65,
136694.279,3.707,10.0.0.2,41442,honest,67,62,101.345,0.067,4,1308992,1207632,7658276bps,66,
136694.380,3.807,10.0.0.2,41442,honest,68,62,101.428,0.27,4,1404560,1300304,7766218bps,68,
136694.480,3.908,10.0.0.2,41442,honest,69,62,101.447,0.367,4,1504472,1398768,7878952bps,69,
136694.580,4.008,10.0.0.2,41442,honest,70,62,101.541,0.486,4,1602936,1495784,7985740bps,70,
136694.680,4.108,10.0.0.2,41442,honest,71,62,101.468,0.287,4,1705744,1597144,8105649bps,71,
136694.780,4.208,10.0.0.2,41442,honest,72,62,101.728,0.437,4,1810000,1699952,8198805bps,72,
136694.880,4.308,10.0.0.2,41442,honest,72,62,101.905,0.739,4,1911360,1801312,8184564bps,72,
136694.980,4.408,10.0.0.2,41442,honest,73,62,101.365,0.036,4,2014168,1904120,8342446bps,72,
136695.080,4.508,10.0.0.2,41442,honest,73,62,101.389,0.083,4,2119872,2008376,8340471bps,73,
136695.181,4.609,10.0.0.2,41442,honest,73,62,101.429,0.078,4,2221232,2111184,8337182bps,72,
136695.281,4.709,10.0.0.2,41442,honest,74,62,101.688,0.477,4,2328384,2215440,8429864bps,74,
136695.381,4.809,10.0.0.2,41442,honest,74,62,101.447,0.23,4,2432640,2319696,8449890bps,74,
136695.481,4.909,10.0.0.2,41442,honest,74,62,101.509,0.245,4,2539792,2426848,8444729bps,74,
136695.581,5.009,10.0.0.2,41442,honest,74,62,101.543,0.489,4,2644048,2531104,8441901bps,74,
136695.681,5.109,10.0.0.2,41442,honest,75,62,101.555,0.326,4,2752648,2638256,8554970bps,75,
136695.782,5.209,10.0.0.2,41442,honest,75,62,101.537,0.286,4,2858352,2743960,8556487bps,75,
136695.882,5.310,10.0.0.2,41442,honest,75,62,102.194,1.011,4,2964056,2849664,8501478bps,75,
136695.982,5.410,10.0.0.2,41442,honest,75,62,101.641,0.558,4,3068312,2955368,8547732bps,74,
136696.082,5.510,10.0.0.2,41442,honest,75,62,101.467,0.218,4,3175464,3062520,8562390bps,74,
136696.182,5.610,10.0.0.2,41442,honest,75,62,101.336,0.354,4,3281168,3166776,8573459bps,75,
136696.282,5.710,10.0.0.2,41442,honest,75,62,101.678,0.494,4,3388320,3273928,8544621bps,75,
136696.382,5.810,10.0.0.2,41442,honest,75,62,102.039,0.528,4,3496920,3382528,8514392bps,75,
136696.483,5.910,10.0.0.2,41442,honest,75,62,101.868,0.643,4,3604072,3491128,8528684bps,74,
136696.583,6.011,10.0.0.2,41442,honest,76,62,101.217,0.042,4,3711224,3595384,8697986bps,76,
136696.683,6.111,10.0.0.2,41442,honest,76,62,101.36,0.309,4,3821272,3705432,8685714bps,76,
136696.783,6.211,10.0.0.2,41442,honest,77,62,101.299,0.086,4,3932768,3815480,8805299bps,77,
136696.883,6.311,10.0.0.2,41442,honest,77,62,101.978,0.246,4,4039920,3924080,8746671bps,76,
136696.983,6.411,10.0.0.2,41442,honest,78,62,101.41,0.329,4,4152864,4034128,8909891bps,78,
136697.083,6.511,10.0.0.2,41442,honest,78,62,101.564,0.388,4,4262912,4144176,8896381bps,78,
136697.183,6.611,10.0.0.2,41442,honest,79,62,101.322,0.222,4,4377304,4257120,9031958bps,79,
136697.283,6.711,10.0.0.2,41442,honest,79,62,101.78,0.672,4,4487352,4368616,8991315bps,78,
136697.384,6.811,10.0.0.2,41442,honest,80,62,101.405,0.217,4,4600296,4478664,9138800bps,80,
136697.484,6.911,10.0.0.2,41442,honest,80,62,101.85,0.285,4,4716136,4594504,9098871bps,80,
136697.584,7.012,10.0.0.2,41442,honest,81,62,101.452,0.277,4,4833424,4710344,9248748bps,81,
136697.684,7.112,10.0.0.2,41442,honest,82,62,101.572,0.408,4,4949264,4824736,9351869bps,82,
136697.784,7.212,10.0.0.2,41442,honest,82,62,102.294,1.051,4,5065104,4940576,9285862bps,82,
136697.884,7.312,10.0.0.2,41442,honest,83,62,101.385,0.217,4,5182392,5056416,9483375bps,83,
136697.984,7.412,10.0.0.2,41442,honest,83,62,101.618,0.549,4,5298232,5173704,9461631bps,82,
136698.084,7.512,10.0.0.2,41442,honest,84,62,101.425,0.216,4,5419864,5292440,9593848bps,84,
136698.185,7.612,10.0.0.3,44444,attacker,10,42230,140.088,70.044,,,,833762bps,,
