timestamp,elapsed_s,sent_bytes,sent_pkts,dropped,overlimits,backlog_bytes,backlog_pkts
53499.490,0.000,180,2,0,0,0,0
53499.590,0.100,180,2,0,0,0,0
53499.690,0.201,180,2,0,0,0,0
53499.791,0.301,180,2,0,0,0,0
53499.891,0.401,180,2,0,0,0,0
53499.991,0.501,180,2,0,0,0,0
53500.091,0.602,180,2,0,0,0,0
53500.191,0.702,180,2,0,0,0,0
53500.292,0.802,180,2,0,0,0,0
53500.392,0.902,180,2,0,0,0,0
53500.492,1.002,180,2,0,0,0,0
53500.592,1.103,180,2,0,0,0,0
53500.693,1.203,180,2,0,0,0,0
53500.793,1.303,180,2,0,0,0,0
53500.893,1.403,180,2,0,0,0,0
53500.993,1.504,180,2,0,0,0,0
53501.093,1.604,180,2,0,0,0,0
53501.194,1.704,180,2,0,0,0,0
53501.294,1.804,180,2,0,0,0,0
53501.394,1.904,180,2,0,0,0,0
53501.494,2.005,180,2,0,0,0,0
53501.595,2.105,222,3,0,0,0,0
53501.695,2.205,222,3,0,0,74,1
53501.795,2.305,296,4,0,0,15206,11
53501.895,2.405,15502,15,0,18,30280,20
53501.995,2.506,45782,35,0,56,60560,40
53502.095,2.606,106342,75,0,134,81756,54
53502.196,2.706,209294,143,0,297,99924,66
53502.296,2.806,330414,223,0,530,127176,84
53502.396,2.906,456076,306,0,779,133232,88
53502.496,3.006,580224,388,0,1020,137774,91
53502.596,3.106,705886,471,4,1231,139288,92
53502.696,3.207,831548,554,7,1447,130204,86
53502.796,3.307,957210,637,7,1670,90840,60
53502.897,3.407,1081358,719,7,1911,84784,56
53502.997,3.507,1205506,801,7,2148,87812,58
53503.097,3.607,1331168,884,7,2397,92354,61
53503.197,3.707,1458344,968,7,2648,95382,63
53503.297,3.807,1582492,1050,7,2895,99924,66
53503.397,3.908,1708154,1133,7,3124,102952,68
53503.497,4.008,1832302,1215,7,3331,104466,69
53503.598,4.108,1957964,1298,7,3540,105980,70
53503.698,4.208,2082112,1380,7,3748,112036,74
53503.798,4.308,2207774,1463,7,3957,115064,76
53503.898,4.408,2333436,1546,7,4165,113550,75
53503.998,4.508,2457584,1628,7,4372,116578,77
