timestamp,elapsed_s,peer_ip,peer_port,role,cwnd,ssthresh,rtt,rttvar,retrans,bytes_sent,bytes_acked,send_rate,unacked,snd_wnd
53501.795,2.305,10.0.0.2,47854,honest,10,42230,100.449,50.224,,14480,,1153222bps,10,
53501.895,2.405,10.0.0.2,47854,honest,20,42230,104.991,7.608,,43440,14480,2206665bps,20,
53501.995,2.506,10.0.0.2,47854,honest,40,42230,107.379,4.251,,101360,43440,4315183bps,40,
53502.095,2.606,10.0.0.2,47854,honest,64,42230,110.954,3.81,,170864,78192,6681832bps,64,
53502.196,2.706,10.0.0.2,47854,honest,103,42230,111.673,3.18,,283808,134664,10684337bps,103,
53502.296,2.806,10.0.0.2,47854,honest,125,122,111.432,2.066,,430056,249056,12994472bps,125,
53502.396,2.906,10.0.0.2,47854,honest,129,122,151.019,0.976,,557480,370688,9895020bps,129,
53502.496,3.006,10.0.0.2,47854,honest,133,122,152.786,0.71,,680560,487976,10083856bps,133,
53502.596,3.106,10.0.0.2,47854,honest,137,122,158.234,0.676,,807984,611056,10029501bps,136,
53502.696,3.207,10.0.0.2,47854,honest,135,98,161.462,0.671,1,925272,703728,9685499bps,152,
53502.796,3.307,10.0.0.2,47854,honest,106,98,161.539,0.642,5,1009256,703728,7601285bps,206,
53502.897,3.407,10.0.0.2,47854,honest,98,98,141.3,3.06,7,1119304,809432,8034197bps,207,
53502.997,3.507,10.0.0.2,47854,honest,99,98,117.77,0.243,7,1242384,1088896,9737760bps,99,
53503.097,3.607,10.0.0.2,47854,honest,102,98,119.19,1.043,7,1366912,1209080,9913315bps,102,
53503.197,3.707,10.0.0.2,47854,honest,104,98,122.318,0.069,7,1489992,1329264,9849213bps,104,
53503.297,3.807,10.0.0.2,47854,honest,107,98,125.669,0.472,7,1613072,1448000,9863117bps,107,
53503.397,3.908,10.0.0.2,47854,honest,109,98,129.221,0.656,7,1736152,1568184,9771291bps,109,
53503.497,4.008,10.0.0.2,47854,honest,111,98,131.262,0.54,7,1856336,1685472,9795859bps,111,
53503.598,4.108,10.0.0.2,47854,honest,113,98,133.576,0.764,7,1980864,1807104,9799605bps,113,
53503.698,4.208,10.0.0.2,47854,honest,115,98,135.32,0.498,7,2101048,1924392,9844517bps,115,
53503.798,4.308,10.0.0.2,47854,honest,117,98,137.942,0.182,7,2225576,2046024,9825347bps,117,
53503.898,4.408,10.0.0.2,47854,honest,118,98,140.198,0.453,7,2344312,2164760,9749868bps,117,
53503.998,4.508,10.0.0.2,47854,honest,120,98,142.293,0.684,7,2465944,2283496,9769138bps,119,
53504.098,4.608,10.0.0.2,47854,honest,122,98,144.037,0.156,7,2590472,2405128,9811701bps,121,
53504.198,4.709,10.0.0.2,47854,honest,123,98,146.347,0.422,7,2712104,2523864,9735984bps,123,
53504.298,4.809,10.0.0.2,47854,honest,125,98,147.208,0.653,7,2835184,2644048,9836422bps,125,
53504.399,4.909,10.0.0.2,47854,honest,126,98,148.99,0.054,7,2956816,2764232,9796523bps,126,
53504.499,5.009,10.0.0.2,47854,honest,127,98,151.377,0.101,7,3077000,2882968,9718570bps,127,
53504.599,5.109,10.0.0.2,47854,honest,129,98,152.705,1.168,7,3200080,3003152,9785770bps,129,
53504.699,5.209,10.0.0.2,47854,honest,130,98,153.831,0.017,7,3318816,3121888,9789444bps,129,
53504.799,5.309,10.0.0.2,47854,honest,131,98,156.273,0.374,7,3441896,3242072,9710596bps,131,
