timestamp,elapsed_s,sent_bytes,sent_pkts,dropped,overlimits,backlog_bytes,backlog_pkts
53659.179,0.000,180,2,0,0,0,0
53659.279,0.100,180,2,0,0,0,0
53659.379,0.201,180,2,0,0,0,0
53659.480,0.301,180,2,0,0,0,0
53659.580,0.401,180,2,0,0,0,0
53659.680,0.501,180,2,0,0,0,0
53659.780,0.602,180,2,0,0,0,0
53659.881,0.702,180,2,0,0,0,0
53659.981,0.802,180,2,0,0,0,0
53660.081,0.902,180,2,0,0,0,0
53660.181,1.002,180,2,0,0,0,0
53660.281,1.103,180,2,0,0,0,0
53660.382,1.203,180,2,0,0,0,0
53660.482,1.303,180,2,0,0,0,0
53660.582,1.403,180,2,0,0,0,0
53660.682,1.504,180,2,0,0,0,0
53660.783,1.604,180,2,0,0,0,0
53660.883,1.704,180,2,0,0,0,0
53660.983,1.804,180,2,0,0,0,0
53661.083,1.905,180,2,0,0,0,0
53661.183,2.005,180,2,0,0,0,0
53661.284,2.105,222,3,0,0,0,0
53661.384,2.205,222,3,0,0,74,1
53661.484,2.305,296,4,0,0,15206,11
53661.584,2.406,15502,15,0,18,30280,20
53661.684,2.506,45782,35,0,56,60560,40
53661.785,2.606,106342,75,0,134,84784,56
53661.885,2.706,210808,144,0,300,101438,67
53661.985,2.806,330414,223,0,530,127176,84
53662.085,2.906,456076,306,0,778,133232,88
53662.185,3.007,581738,389,0,1021,136260,90
53662.285,3.107,705886,471,4,1230,139288,92
53662.385,3.207,831548,554,7,1446,130204,86
53662.486,3.307,957210,637,7,1670,92354,61
53662.586,3.407,1081358,719,7,1911,84784,56
53662.686,3.507,1208534,803,7,2153,86298,57
53662.786,3.607,1332682,885,7,2400,92354,61
53662.886,3.707,1458344,968,7,2648,95382,63
53662.986,3.807,1582492,1050,7,2895,99924,66
53663.086,3.908,1708154,1133,7,3124,102952,68
53663.186,4.008,1832302,1215,7,3331,104466,69
53663.286,4.108,1957964,1298,7,3540,105980,70
53663.387,4.208,2082112,1380,7,3748,112036,74
53663.487,4.308,2209288,1464,7,3959,113550,75
53663.587,4.408,2333436,1546,7,4166,116578,77
53663.687,4.508,2459098,1629,7,4374,115064,76
53663.787,4.608,2584760,1712,7,4584,119606,79
53663.887,4.709,2708908,1794,7,4791,122634,81
53663.987,4.809,2834570,1877,7,5000,124148,82
53664.088,4.909,2960232,1960,7,5208,124148,82
53664.188,5.009,3085894,2043,7,5418,127176,84
53664.288,5.109,3210042,2125,7,5625,131718,87
53664.388,5.209,3335704,2208,7,5834,133232,88
53664.488,5.310,3461366,2291,7,6043,133232,88
53664.588,5.410,3585514,2373,7,6249,134746,89
53664.688,5.510,3711176,2456,7,6457,134746,89
53664.789,5.610,3836838,2539,7,6666,136260,90
53664.889,5.710,3962500,2622,8,6876,137774,91
53664.989,5.810,4086648,2704,9,7087,130204,86
53665.089,5.910,4210796,2786,9,7308,92354,61
53665.189,6.011,4336458,2869,9,7547,78728,52
53665.289,6.111,4460606,2951,9,7773,80242,53
53665.389,6.211,4586268,3034,9,7982,81756,54
53665.490,6.311,4711930,3117,9,8192,86298,57
53665.590,6.411,4836078,3199,9,8398,86298,57
53665.690,6.511,4961740,3282,9,8608,89326,59
53665.790,6.611,5087402,3365,9,8817,90840,60
53665.890,6.711,5211550,3447,9,9024,93868,62
53665.990,6.812,5337212,3530,9,9233,95382,63
53666.090,6.912,5462874,3613,9,9442,96896,64
53666.190,7.012,5596106,3701,9,9662,95382,63
53666.291,7.112,5717226,3781,9,9864,98410,65
53666.391,7.212,5842888,3864,9,10074,99924,66
53666.491,7.312,5962494,3943,9,10274,99966,67
53666.591,7.412,6089712,4028,9,10488,101438,67
53666.691,7.512,6213922,4111,9,10698,101438,67
53666.791,7.613,6338070,4193,9,10905,102952,68
53666.891,7.713,6463732,4276,9,11115,104466,69
53666.991,7.813,6589394,4359,9,11324,105980,70
53667.092,7.913,6715056,4442,9,11534,107494,71
53667.192,8.013,6840718,4525,9,11743,105980,70
53667.292,8.113,6964866,4607,9,11950,105980,70
53667.392,8.213,7089068,4690,9,12165,124148,82
53667.492,8.313,7214730,4773,9,12369,110522,73
53667.592,8.414,7340392,4856,9,12576,107494,71
53667.692,8.514,7466054,4939,9,12785,109008,72
53667.792,8.614,7590202,5021,9,12991,109008,72
53667.893,8.714,7715864,5104,9,13200,109008,72
53667.993,8.814,7841526,5187,9,13408,109008,72
